,PLAYER_NAME,WFG,WFG x PTS,DEF_RATING,ScaledWFGxPTS,ScaledDefRating,TotalRating
2,James Harden,0.5851063829787234,2.5159574468085104,109.6,0.9302109848681622,0.456086286594761,0.7721694187770285
3,Bradley Beal,0.5294117647058824,2.488235294117647,110.4,0.9199614271938283,0.4684129429892141,0.7694452657922902
0,Shai Gilgeous-Alexander,0.5754716981132075,2.7047169811320755,97.1,1.0,0.26348228043143274,0.7544940934771442
1,Damian Lillard,0.5504587155963303,2.642201834862385,99.3,0.9768866218884298,0.29738058551617863,0.7503846097643461
4,Jamal Murray,0.5436893203883496,2.337864077669903,113.9,0.8643655117998247,0.5223420647149462,0.7503576961048651
5,DeMar DeRozan,0.5229357798165138,2.300917431192661,115.1,0.8507054332278411,0.5408320493066254,0.7474143052541025
10,Zach LaVine,0.4566929133858267,2.0094488188976376,122.8,0.7429423606667234,0.6594761171032355,0.715120279478894
9,Kevin Durant,0.5609756097560976,2.075609756097561,113.1,0.7674036768271415,0.5100154083204929,0.6816075873249252
6,Nikola Jokic,0.5135135135135135,2.156756756756757,107.7,0.7974057070673745,0.42681047765793534,0.6738739639308947
12,Stephen Curry,0.4807692307692309,1.9230769230769236,118.2,0.711008558933219,0.5885978428351308,0.6702049869005229
27,Isaiah Stewart,0.9545454545454544,1.4318181818181817,140.6,0.529378190696642,0.9337442218798147,0.6641668677576995
8,Collin Sexton,0.5543478260869567,2.1065217391304354,107.8,0.778832592772327,0.4283513097072418,0.6620054984172985
15,Karl-Anthony Towns,0.5857142857142857,1.8157142857142856,119.4,0.67131396681449,0.6070878274268106,0.6499052536852634
16,De'Aaron Fox,0.5000000000000001,1.8000000000000005,118.9,0.665504011161493,0.5993836671802772,0.6434638965010877
11,Zion Williamson,0.640625,1.9859375,107.5,0.7342496512033484,0.423728813559322,0.6307427053220063
14,Russell Westbrook,0.514851485148515,1.9049504950495053,109.3,0.7043067752886207,0.45146379044684104,0.6200257803413608
7,Joel Embiid,0.5434782608695652,2.119565217391304,97.9,0.7836550856068303,0.27580893682588603,0.6143730360131822
26,D'Angelo Russell,0.4615384615384616,1.4769230769230772,127.7,0.5460545732607122,0.7349768875192604,0.6090286780135615
23,Jerami Grant,0.4782608695652174,1.5782608695652174,122.3,0.5835216329749322,0.6517719568567024,0.6062717409355223
21,Trae Young,0.4943820224719102,1.5820224719101126,119.3,0.5849123893354445,0.6055469953775037,0.5917905913494642
19,Chris Paul,0.4888888888888889,1.6622222222222225,113.8,0.6145641979614774,0.5208012326656393,0.583309876196198
13,LeBron James,0.4444444444444444,1.9111111111111108,98.2,0.7065845056776343,0.2804314329738058,0.5645334814430248
18,Kyrie Irving,0.5058823529411766,1.6694117647058826,105.7,0.6172223476066395,0.39599383667180277,0.5434795106283605
22,Jayson Tatum,0.4938271604938271,1.5802469135802468,109.2,0.5842559220073462,0.4499229583975346,0.5394782674707423
17,Terry Rozier,0.5121951219512195,1.6902439024390243,101.6,0.6249244982857921,0.33281972265023096,0.5275562397406051
34,Ja Morant,0.4444444444444445,1.2000000000000002,122.9,0.4436693407743286,0.6610169491525424,0.5161185435670665
28,Will Barton,0.5964912280701754,1.4315789473684208,109.0,0.5292897398711287,0.4468412942989213,0.5018069246803929
33,Luka Doncic,0.4625,1.295,115.4,0.47879316358562957,0.5454545454545454,0.5010136242086015
51,Kyle Lowry,0.4736842105263157,0.9473684210526314,129.1,0.3502652690323646,0.756548536209553,0.48569302475809406
20,CJ McCollum,0.5432098765432098,1.6296296296296295,94.8,0.6025139195700758,0.2280431432973804,0.47769032747917733
31,Clint Capela,0.7647058823529412,1.3764705882352943,106.0,0.5089148320646711,0.40061633281972253,0.4728153323163549
42,Donovan Mitchell,0.3854166666666667,1.0791666666666666,117.5,0.39899430298802463,0.5778120184899844,0.4586002081553445
38,Chris Boucher,0.7241379310344828,1.1586206896551725,111.2,0.42837039798900695,0.48073959938366717,0.44582679845389367
37,Mike Conley,0.5652173913043478,1.1869565217391305,107.3,0.43884684793982504,0.4206471494607087,0.43278028178011957
54,John Collins,0.6666666666666666,0.9333333333333332,119.1,0.3450761539355889,0.6024653312788903,0.43087254638335604
45,Devin Booker,0.36,1.044,112.3,0.3859923264736659,0.49768875192604,0.4232244682911239
50,Naz Reid,0.7407407407407407,0.9629629629629628,116.0,0.3560309524732266,0.5546995377503852,0.4222538142322794
35,Bam Adebayo,0.6,1.2,104.3,0.44366934077432857,0.37442218798150995,0.4205869565100556
25,Giannis Antetokounmpo,0.6000000000000001,1.5000000000000002,89.8,0.5545866759679108,0.15100154083204909,0.4200582975892902
87,Kawhi Leonard,0.3692307692307691,0.7384615384615383,126.2,0.27302728663035597,0.7118644067796609,0.41930632668012424
59,Kelly Oubre Jr.,0.5,0.8999999999999999,118.4,0.3327520055807464,0.5916795069337442,0.4190611726984123
24,Tobias Harris,0.5538461538461539,1.5507692307692311,87.1,0.5733573019237478,0.10939907550077033,0.4187045597827553
100,Jalen Brunson,0.5151515151515151,0.6696969696969697,129.0,0.2476033442200167,0.7550077041602463,0.41673813086675987
41,Brandon Ingram,0.4,1.08,109.0,0.39930240669689576,0.4468412942989213,0.4151487025642376
29,Alec Burks,0.486842105263158,1.411842105263158,92.8,0.5219925467662879,0.19722650231124805,0.41373719861460795
39,Khris Middleton,0.4444444444444445,1.1111111111111112,104.7,0.41080494516141536,0.38058551617873637,0.400731802167189
210,Svi Mykhailiuk,0.3600000000000001,0.2520000000000001,144.9,0.09317056156260904,0.9999999999999998,0.3954470410417393
