PLAYER_NAME,DEF_RATING
De'Anthony Melton,88.9
Immanuel Quickley,87.2
Tobias Harris,87.1
Juancho Hernangomez,86.7
DeAndre Jordan,86.2
Andre Iguodala,85.1
Robin Lopez,84.7
Wesley Matthews,82.6
Taj Gibson,81.0
James Johnson,80.0
