PLAYER_NAME,WFG,WFG x PTS
Shai Gilgeous-Alexander,0.5754716981132075,2.7047169811320755
Damian Lillard,0.5504587155963303,2.6422018348623855
James Harden,0.5851063829787234,2.5159574468085104
Bradley Beal,0.5294117647058824,2.488235294117647
Jamal Murray,0.5436893203883496,2.337864077669903
DeMar DeRozan,0.5229357798165138,2.3009174311926612
Nikola Jokic,0.5135135135135135,2.156756756756757
Joel Embiid,0.5434782608695652,2.119565217391304
Collin Sexton,0.5543478260869567,2.1065217391304354
Kevin Durant,0.5609756097560976,2.0756097560975615
Zach LaVine,0.45669291338582674,2.0094488188976376
Zion Williamson,0.640625,1.9859375000000001
Stephen Curry,0.48076923076923084,1.9230769230769234
LeBron James,0.4444444444444444,1.911111111111111
Russell Westbrook,0.514851485148515,1.9049504950495055
Karl-Anthony Towns,0.5857142857142857,1.8157142857142858
De'Aaron Fox,0.5000000000000001,1.8000000000000005
Terry Rozier,0.5121951219512195,1.6902439024390243
Kyrie Irving,0.5058823529411766,1.6694117647058826
Chris Paul,0.48888888888888893,1.6622222222222223
CJ McCollum,0.5432098765432098,1.6296296296296295
Trae Young,0.49438202247191015,1.5820224719101126
Jayson Tatum,0.4938271604938271,1.5802469135802468
Jerami Grant,0.4782608695652174,1.5782608695652174
Tobias Harris,0.553846153846154,1.5507692307692311
Giannis Antetokounmpo,0.6000000000000001,1.5000000000000002
D'Angelo Russell,0.4615384615384616,1.4769230769230772
Isaiah Stewart,0.9545454545454544,1.4318181818181817
Will Barton,0.5964912280701754,1.4315789473684208
Alec Burks,0.48684210526315796,1.411842105263158
Robin Lopez,0.7058823529411765,1.411764705882353
Clint Capela,0.7647058823529412,1.3764705882352943
Gordon Hayward,0.5517241379310345,1.3241379310344827
Luka Doncic,0.46249999999999997,1.295
Ja Morant,0.4444444444444445,1.2000000000000002
Bam Adebayo,0.6,1.2
Julius Randle,0.4252873563218391,1.1908045977011494
Mike Conley,0.5652173913043478,1.1869565217391305
Chris Boucher,0.7241379310344828,1.1586206896551725
Khris Middleton,0.4444444444444445,1.1111111111111112
Caris LeVert,0.41111111111111115,1.11
Brandon Ingram,0.4,1.08
Donovan Mitchell,0.3854166666666667,1.0791666666666666
Ben Simmons,0.7142857142857143,1.0714285714285714
Malcolm Brogdon,0.44000000000000006,1.056
Devin Booker,0.36,1.044
Dennis Schroder,0.490566037735849,1.030188679245283
Jimmy Butler,0.4285714285714286,1.0285714285714287
Darius Garland,0.5192307692307693,0.9865384615384616
RJ Barrett,0.4655172413793102,0.9775862068965515
Naz Reid,0.7407407407407407,0.9629629629629629
Kyle Lowry,0.4736842105263157,0.9473684210526314
Talen Horton-Tucker,0.7200000000000002,0.9360000000000003
Deandre Ayton,0.7200000000000001,0.9360000000000002
John Collins,0.6666666666666666,0.9333333333333332
Anthony Davis,0.4225352112676056,0.9295774647887325
Rudy Gobert,0.7083333333333334,0.9208333333333334
Michael Porter Jr.,0.5675675675675675,0.9081081081081082
Terence Davis,0.5,0.9
Kelly Oubre Jr.,0.49999999999999994,0.8999999999999999
Devonte' Graham,0.4705882352941177,0.8941176470588236
Cody Zeller,0.8095238095238095,0.8904761904761905
Bogdan Bogdanovic,0.489795918367347,0.8816326530612246
Jrue Holiday,0.44067796610169485,0.8813559322033897
Otto Porter Jr.,0.5499999999999999,0.8799999999999999
Coby White,0.46,0.874
Dejounte Murray,0.5454545454545454,0.8727272727272727
Luguentz Dort,0.5111111111111111,0.8688888888888888
Wesley Matthews,0.7894736842105263,0.868421052631579
Aaron Holiday,0.6666666666666666,0.8666666666666667
Mikal Bridges,0.48,0.864
Victor Oladipo,0.3896103896103896,0.8571428571428571
Monte Morris,0.7083333333333333,0.8499999999999999
LaMarcus Aldridge,0.606060606060606,0.8484848484848483
Evan Fournier,0.4464285714285714,0.8482142857142856
Domantas Sabonis,0.5227272727272727,0.8363636363636364
Harrison Barnes,0.4888888888888889,0.831111111111111
Jaylen Brown,0.4354838709677418,0.8274193548387094
John Wall,0.375,0.8250000000000001
Christian Wood,0.42857142857142855,0.8142857142857142
Reggie Jackson,0.6666666666666667,0.8
Jonas Valanciunas,0.6538461538461539,0.7846153846153846
Tony Snell,0.6956521739130437,0.7652173913043481
Terrence Ross,0.44444444444444453,0.7555555555555556
Alex Caruso,0.5806451612903226,0.7548387096774194
Josh Richardson,0.6818181818181818,0.75
Austin Rivers,0.5714285714285714,0.7428571428571429
Kawhi Leonard,0.36923076923076914,0.7384615384615383
Myles Turner,0.45999999999999996,0.736
Wendell Carter Jr.,0.6666666666666667,0.7333333333333335
Mason Plumlee,0.5517241379310345,0.7172413793103448
Dillon Brooks,0.3731343283582089,0.708955223880597
Michael Carter-Williams,0.6363636363636365,0.7000000000000002
T.J. McConnell,0.6363636363636365,0.7000000000000002
Lou Williams,0.5000000000000001,0.7000000000000001
James Johnson,0.5806451612903225,0.696774193548387
Marcus Morris Sr.,0.75,0.675
De'Anthony Melton,0.5172413793103449,0.6724137931034484
Tyrese Haliburton,0.5161290322580646,0.670967741935484
Nikola Vucevic,0.44680851063829785,0.6702127659574468
Jalen Brunson,0.5151515151515151,0.6696969696969697
Robert Covington,0.5151515151515151,0.6696969696969697
Pat Connaughton,0.5151515151515151,0.6696969696969697
Landry Shamet,0.7333333333333334,0.66
Theo Maledon,0.5925925925925927,0.651851851851852
Cedi Osman,0.43137254901960786,0.6470588235294118
Pascal Siakam,0.40384615384615385,0.6461538461538462
Buddy Hield,0.42857142857142855,0.6428571428571428
Richaun Holmes,0.5333333333333333,0.64
